,aic_x,aic_y,aic_z,aic_n,PCECC96 Fore,GDPC1 Fore,CPIAUCSL Fore,PPIACO Fore,PCECC96,GDPC1,CPIAUCSL,PPIACO
2001/6/1,33.72699215,101.9825216,0.085541796,1.279016228,33.72699215,101.9825216,0.085541796,1.279016228,-14.276,115.11,-0.4334,-1.5334
2001/9/1,34.7824333,-14.28883206,-0.084472047,-0.727711255,34.7824333,-14.28883206,-0.084472047,-0.727711255,9.422,-132.494,-0.7333,-2.8666
2001/12/1,14.0552452,113.2324337,0.569630345,-0.654065225,14.0552452,113.2324337,0.569630345,-0.654065225,102.089,91.275,-0.6333,-3.9667
2002/3/1,-69.01025529,6.602321505,0.35210893,-2.534293498,-69.01025529,6.602321505,0.35210893,-2.534293498,-104.824,80.068,0.7,-0.5
2002/6/1,37.86415741,-30.65387731,-0.025210561,-1.064700402,37.86415741,-30.65387731,-0.025210561,-1.064700402,18.766,-34.993,0.8333,1.9333
2002/9/1,28.38413285,15.30510933,-0.46490125,1.183232414,28.38413285,15.30510933,-0.46490125,1.183232414,19.349,-21.23,-0.4334,0.8334
2002/12/1,-10.78615176,23.60533285,-0.013709779,1.461221709,-10.78615176,23.60533285,-0.013709779,1.461221709,-13.189,-38.96,0.1001,1.4
2003/3/1,8.032997955,47.12914648,0.250969013,1.221932637,8.032997955,47.12914648,0.250969013,1.221932637,-9.272,54.261,0.8,4.9666
2003/6/1,17.84434847,-4.552410722,-0.327491455,2.966831349,17.84434847,-4.552410722,-0.327491455,2.966831349,60.353,42.069,-2.1667,-0.8666
2003/9/1,-36.91406789,-23.76799434,0.486228043,0.361068007,-36.91406789,-23.76799434,0.486228043,0.361068007,33.2,116.24,1.6666,0.9
2003/12/1,-55.00218921,-101.3068472,0.377484682,1.833409735,-55.00218921,-101.3068472,0.377484682,1.833409735,-72.578,-72.958,-0.6666,1.1666
2004/3/1,24.77495645,-17.40350969,-0.468148475,0.602780838,24.77495645,-17.40350969,-0.468148475,0.602780838,20.59,-85.07,0.8667,2.9667
2004/6/1,5.512937511,30.90730017,-0.182976524,1.400150825,5.512937511,30.90730017,-0.182976524,1.400150825,-24.948,32.874,-0.1,4.0667
2004/9/1,11.01955893,-11.72538406,-0.207571101,3.317449142,11.01955893,-11.72538406,-0.207571101,3.317449142,47.115,27.085,-0.2667,1.4333
2004/12/1,-26.50832697,-24.86646495,0.221163965,1.317637309,-26.50832697,-24.86646495,0.221163965,1.317637309,-0.592,9.431,0.8333,2.8333
2005/3/1,-23.84799562,-25.80778178,-0.363597292,1.545470051,-23.84799562,-25.80778178,-0.363597292,1.545470051,-48.648,16.834,-1.0666,1.5334
2005/6/1,27.2991642,-35.46937619,0.270626337,0.700846214,27.2991642,-35.46937619,0.270626337,0.700846214,55.086,-93.546,0.3333,2.4666
2005/9/1,-25.19457144,39.14360201,0.225294589,1.816022217,-25.19457144,39.14360201,0.225294589,1.816022217,-15.187,64.092,1.6333,4.1667
2005/12/1,-15.86258911,-28.08093913,-1.075746833,2.451069498,-15.86258911,-28.08093913,-1.075746833,2.451069498,-67.404,-37.729,-1.1,5.6
2006/3/1,51.32082094,13.79949064,-0.02614532,3.510917026,51.32082094,13.79949064,-0.02614532,3.510917026,83.341,105.886,-0.7999,-1.5333
2006/6/1,-31.09121987,-73.45434958,0.834468584,0.423435907,-31.09121987,-73.45434958,0.834468584,0.423435907,-61.344,-164.75,0.7666,2.6333
2006/9/1,15.37669578,76.6517143,-0.205382008,2.01183855,15.37669578,76.6517143,-0.205382008,2.01183855,10.658,-12.016,0.1,1.3
2006/12/1,19.17352503,50.41443666,-0.382294785,1.24145706,19.17352503,50.41443666,-0.382294785,1.24145706,37.901,106.897,-2.7334,-2.5667
2007/3/1,-27.8027371,-34.01812068,1.504222613,-0.439971393,-27.8027371,-34.01812068,1.504222613,-0.439971393,-41.903,-94.16,2.8171,2.5667
2007/6/1,16.4554138,59.42423952,-0.36256057,2.52420175,16.4554138,59.42423952,-0.36256057,2.52420175,-39.202,52.357,0.3303,6.1333
