sasdate,FACTOR,PCECC96,GDPC1,CPIAUCSL,PPIACO
1959/9/1,-1645.274027,-9.302,-68.171,0.1,-0.1
1959/12/1,-1455.751667,-18.184,6.833,0.0267,-0.1334
1960/3/1,4010.678992,16.681,62.892,-0.15,0.1334
1960/6/1,-2371.556567,6.26,-89.667,0.1499,0.0666
1960/9/1,-765.6514181,-33.238,33.61,-0.1599,-0.1
1960/12/1,-1309.895057,10.68,-57.961,0.1733,0.0667
1961/3/1,-1789.496751,-3.355,63.837,-0.13,0.1
1961/6/1,1543.371111,30.719,33.416,-0.07,-0.3333
1961/9/1,2776.393154,-20.031,8.289,0.1267,0.0333
1961/12/1,2621.977912,31.371,2.618,-0.0734,0.0333
1962/3/1,1650.639427,-19.117,-4.807,0.0734,0.1667
1962/6/1,172.5049158,3.836,-29.704,-0.0034,-0.1667
1962/9/1,282.4595599,-8.755,11.758,-0.0266,0.1667
1962/12/1,1622.836584,13.296,-31.63,-0.0134,-0.0333
1963/3/1,581.2981293,-15.221,27.397,0.0234,-0.1334
1963/6/1,2108.934131,5.472,1.534,-0.0401,-0.0333
1963/9/1,1534.576343,9.395,39.921,0.1301,0.1333
1963/12/1,992.4312567,-11.405,-56.042,-0.1034,0
1964/3/1,1913.090023,25.866,54.954,0.0434,0.0334
1964/6/1,1186.505568,-3.62,-37.591,-0.0767,-0.1334
1964/9/1,2095.666194,2.575,18.895,0.02,0.1
1964/12/1,873.7074763,-36.765,-48.611,0.0733,0.0667
1965/3/1,3476.047539,46.935,83.762,-0.0466,0.1667
1965/6/1,2209.930316,-26.6,-44.658,0.1033,0.3
1965/9/1,1398.437287,15.644,40.139,-0.1067,0.2333
1965/12/1,4098.008563,28.46,5.43,0.0734,0.2333
1966/3/1,2865.999841,-32.809,7.833,0.13,0.4667
1966/6/1,319.5498242,-31.716,-89.666,-0.0067,0.1333
1966/9/1,685.8708792,23.514,22.394,-0.01,0.3334
1966/12/1,-173.0104931,-19.116,-0.866,-0.0134,-0.2334
1967/3/1,-1584.385253,4.347,3.232,-0.1832,0.0334
1967/6/1,654.2773394,21.524,-37.035,0.1166,-0.0667
1967/9/1,1135.241763,-22.985,40.16,0.1333,0.1333
1967/12/1,3497.653944,2.832,-8.395,0.0334,0.0667
1968/3/1,1937.664353,49.678,59.596,-0.0334,0.4667
1968/6/1,1284.043191,-23.259,-15.445,-7.11E-15,0.2
1968/9/1,1409.688988,10.809,-41.584,0.1334,0.1333
1968/12/1,2887.316958,-40.854,-18.131,-0.0334,0.2
1969/3/1,-159.2662562,19.498,56.846,0.0001,0.5
1969/6/1,988.8786203,-13.493,-60.867,0.1332,0.5
1969/9/1,1276.442313,-4.614,17.641,-0.0666,0.2667
1969/12/1,1273.702895,9.491,-56.829,0.0667,0.3333
1970/3/1,-3297.799775,-5.252,16.888,0.0333,0.5333
1970/6/1,-604.6249342,-5.016,14.347,-0.0667,0.2
1970/9/1,956.3441017,13.108,38.553,-0.1333,0.2
1970/12/1,-1863.790831,-35.425,-99.025,0.1667,0.0667
1971/3/1,4483.589646,67.89,187.519,-0.2334,0.5
1971/6/1,2737.372565,-30.443,-106.62,0.0334,0.4667
1971/9/1,975.3206543,-3.614,14.516,0.0333,0.3
1971/12/1,3632.275579,27.884,-29.832,-0.1,0.0333
1972/3/1,3405.267408,-10.197,82.612,0.0333,0.6667
1972/6/1,3438.594137,19.881,24.342,-0.0666,0.4333
1972/9/1,3410.997698,-11.023,-68.404,0.0666,0.6
1972/12/1,8686.4422,28.373,40.017,0.1001,0.4
1973/3/1,4955.566901,-16.363,45.589,0.2332,1.9667
1973/6/1,-1658.997334,-65.564,-74.844,0.2334,2.0666
1973/9/1,-83.22917407,14.157,-91.427,-0.0333,1.8334
1973/12/1,5365.61092,-23.22,83.858,0.2666,0.3666
