,PCECC96 Fore a=0.7,GDPC1 Fore a=0.7,CPIAUCSL Fore a=0.7,PPIACO Fore a=0.7,PCECC96,GDPC1,CPIAUCSL,PPIACO
2001/6/1,-30.45974757,-81.43461316,0.244315967,2.10182716,-14.276,115.11,-0.4334,-1.5334
2001/9/1,-19.13112427,56.14661605,-0.23008521,-0.442831852,9.422,-132.494,-0.7333,-2.8666
2001/12/1,0.856062719,-75.90181518,-0.582335563,-2.139469556,102.089,91.275,-0.6333,-3.9667
2002/3/1,71.71911882,41.12195544,-0.618010669,-3.418530867,-104.824,80.068,0.7,-0.5
2002/6/1,-51.86106436,68.38418663,0.304596799,-1.37555926,18.766,-34.993,0.8333,1.9333
2002/9/1,-2.422119307,-3.97984401,0.67468904,0.940642222,19.349,-21.23,-0.4334,0.8334
2002/12/1,12.81766421,-16.0549532,-0.100973288,0.865572667,-13.189,-38.96,0.1001,1.4
2003/3/1,-5.387000738,-32.08848596,0.039778014,1.2396718,-9.272,54.261,0.8,4.9666
2003/6/1,-8.106500221,28.35615421,0.571933404,3.84852154,60.353,42.069,-2.1667,-0.8666
2003/9/1,39.81514993,37.95514626,-1.345109979,0.547936462,33.2,116.24,1.6666,0.9
2003/12/1,35.18454498,92.75454388,0.763087006,0.794380939,-72.578,-72.958,-0.6666,1.1666
2004/3/1,-40.24923651,-23.24423684,-0.237693898,1.054934282,20.59,-85.07,0.8667,2.9667
2004/6/1,2.338229048,-66.52227105,0.535381831,2.393170284,-24.948,32.874,-0.1,4.0667
2004/9/1,-16.76213129,3.055118685,0.090614549,3.564641085,47.115,27.085,-0.2667,1.4333
2004/12/1,27.95186061,19.87603561,-0.159505635,2.072702326,-0.592,9.431,0.8333,2.8333
2005/3/1,7.971158184,12.56451068,0.535458309,2.605120698,-48.648,16.834,-1.0666,1.5334
2005/6/1,-31.66225254,15.5531532,-0.585982507,1.854916209,55.086,-93.546,0.3333,2.4666
2005/9/1,29.06152424,-60.81625404,0.057515248,2.283094863,-15.187,64.092,1.6333,4.1667
2005/12/1,-1.912442729,26.61952379,1.160564574,3.601618459,-67.404,-37.729,-1.1,5.6
2006/3/1,-47.75653282,-18.42444286,-0.421830628,5.000485538,83.341,105.886,-0.7999,-1.5333
